player,team,position,90s,carries_pa,touches_pa,succ_takeons,carries_final_third,prog_carries,fouls_drawn,passes_pa,passes_final_third,prog_passes,key_passes,xAG,xA,npxG,shots,takeons_lead_to_shot,carry_losses
Alieu Fadera,Como,"FW,DF",14.9,1.6778523489932886,3.221476510067114,1.4093959731543624,2.0805369127516777,3.959731543624161,2.8859060402684564,1.2751677852348993,0.8053691275167785,2.013422818791946,1.2751677852348993,0.24161073825503357,0.09395973154362415,0.10067114093959731,1.5436241610738255,0.33557046979865773,4.295302013422819
Bruno Fernandes,Manchester Utd,"MF,FW",19.4,0.4123711340206186,2.8865979381443303,0.8247422680412372,1.907216494845361,2.4226804123711343,1.3402061855670104,1.907216494845361,5.360824742268042,8.144329896907218,2.3711340206185567,0.23711340206185566,0.2061855670103093,0.2680412371134021,2.9381443298969074,0.15463917525773196,2.577319587628866
Phil Foden,Manchester City,"MF,FW",13.4,0.8208955223880596,4.850746268656716,0.5970149253731343,1.417910447761194,2.388059701492537,1.716417910447761,2.2388059701492535,2.014925373134328,5.074626865671641,2.6119402985074625,0.291044776119403,0.35074626865671643,0.3059701492537313,3.134328358208955,0.14925373134328357,3.432835820895522
Malick Fofana,Lyon,"FW,MF",11.2,1.9642857142857144,5.625,1.3392857142857144,3.303571428571429,5.714285714285714,2.053571428571429,1.7857142857142858,1.6964285714285716,3.125,0.9821428571428572,0.14285714285714288,0.2410714285714286,0.2410714285714286,1.9642857142857144,0.17857142857142858,3.125
Pablo Fornals,Betis,"MF,FW",11.6,0.3448275862068966,2.0689655172413794,0.4310344827586207,1.6379310344827587,1.3793103448275863,0.603448275862069,2.3275862068965516,4.3965517241379315,7.327586206896552,2.0689655172413794,0.1810344827586207,0.1982758620689655,0.12068965517241378,1.3793103448275863,0.1724137931034483,1.9827586206896552
Jorge de Frutos,Rayo Vallecano,"MF,FW",15.4,1.0389610389610389,3.311688311688312,1.2337662337662338,1.8181818181818181,2.857142857142857,0.974025974025974,1.2987012987012987,0.974025974025974,1.948051948051948,1.2987012987012987,0.14285714285714288,0.11038961038961038,0.1883116883116883,1.7532467532467533,0.12987012987012986,3.4415584415584415
Chris Führich,Stuttgart,"MF,FW",10.6,2.8301886792452833,5.566037735849057,1.9811320754716981,2.6415094339622645,5.188679245283019,0.09433962264150944,1.7924528301886793,2.2641509433962264,4.245283018867925,1.509433962264151,0.2075471698113208,0.3113207547169811,0.0849056603773585,1.509433962264151,0.2830188679245283,3.018867924528302
Angelo Fulgini,Lens,"MF,FW",8.4,0.8333333333333333,3.9285714285714284,1.0714285714285714,2.261904761904762,2.619047619047619,2.738095238095238,2.142857142857143,2.738095238095238,5.9523809523809526,1.7857142857142856,0.2619047619047619,0.21428571428571427,0.22619047619047616,2.261904761904762,0.0,4.404761904761905
Cody Gakpo,Liverpool,FW,13.0,1.3076923076923077,5.3076923076923075,1.6923076923076923,1.6153846153846154,2.6923076923076925,1.2307692307692308,1.3846153846153846,1.2307692307692308,2.8461538461538463,2.076923076923077,0.24615384615384617,0.2,0.3384615384615385,2.923076923076923,0.38461538461538464,2.6153846153846154
Álvaro García,Rayo Vallecano,"FW,MF",12.4,0.8064516129032258,3.1451612903225805,0.4032258064516129,0.8064516129032258,2.4193548387096775,0.7258064516129032,1.8548387096774193,0.8064516129032258,2.903225806451613,1.6935483870967742,0.12096774193548386,0.12096774193548386,0.20967741935483872,1.7741935483870968,0.16129032258064516,2.5806451612903225
Rubén García,Osasuna,"FW,MF",13.0,0.38461538461538464,2.769230769230769,0.46153846153846156,1.4615384615384615,1.0769230769230769,1.2307692307692308,0.7692307692307693,3.0,4.6923076923076925,1.4615384615384615,0.0923076923076923,0.16153846153846155,0.08461538461538462,0.8461538461538461,0.0,2.1538461538461537
Alejandro Garnacho,Manchester Utd,"FW,MF",12.8,2.8125,6.640625,1.015625,2.890625,5.78125,1.796875,0.625,0.9375,1.71875,1.40625,0.18749999999999997,0.09374999999999999,0.37499999999999994,3.75,0.234375,4.609375
Yann Gboho,Toulouse,"MF,FW",16.2,1.4814814814814816,5.3086419753086425,2.345679012345679,2.6543209876543212,4.567901234567901,2.469135802469136,0.9259259259259259,1.8518518518518519,3.6419753086419755,0.9876543209876544,0.1358024691358025,0.16049382716049385,0.20987654320987656,1.9135802469135803,0.617283950617284,4.876543209876543
Bryan Gil,Girona,"FW,MF",13.5,1.8518518518518519,4.7407407407407405,2.1481481481481484,1.9259259259259258,3.8518518518518516,2.2222222222222223,1.7037037037037037,1.7037037037037037,4.222222222222222,1.2592592592592593,0.2074074074074074,0.2074074074074074,0.13333333333333333,1.7777777777777777,0.5185185185185185,4.888888888888889
Jamie Gittens,Dortmund,"FW,MF",13.5,3.185185185185185,5.703703703703703,4.074074074074074,2.6666666666666665,6.0,1.7037037037037037,1.3333333333333333,0.7407407407407407,1.7777777777777777,1.037037037037037,0.13333333333333333,0.22962962962962963,0.17777777777777778,2.5185185185185186,1.4074074074074074,3.7777777777777777
Aleksandr Golovin,Monaco,"MF,FW",10.9,0.8256880733944953,2.477064220183486,1.926605504587156,3.2110091743119265,3.3027522935779814,1.6513761467889907,2.385321100917431,6.146788990825688,9.449541284403669,2.110091743119266,0.2201834862385321,0.2660550458715596,0.11926605504587157,1.8348623853211008,0.36697247706422015,3.2110091743119265
Anthony Gordon,Newcastle Utd,FW,18.7,2.2994652406417115,5.401069518716578,1.7647058823529413,2.3529411764705883,4.598930481283423,2.5133689839572195,2.1390374331550803,2.192513368983957,3.3689839572192515,2.4064171122994655,0.22459893048128343,0.22994652406417113,0.2994652406417112,2.4064171122994655,0.37433155080213903,2.620320855614973
Mario Götze,Eint Frankfurt,"MF,FW",8.9,0.2247191011235955,2.696629213483146,0.5617977528089887,1.348314606741573,1.2359550561797752,0.7865168539325842,0.898876404494382,2.9213483146067416,4.157303370786517,1.9101123595505618,0.15730337078651685,0.12359550561797754,0.15730337078651685,0.5617977528089887,0.0,2.247191011235955
Amine Gouiri,Rennes,"MF,FW",11.1,0.9009009009009009,4.054054054054054,1.2612612612612613,0.8108108108108109,1.8018018018018018,1.0810810810810811,0.7207207207207208,1.8018018018018018,3.873873873873874,0.7207207207207208,0.036036036036036036,0.06306306306306306,0.2792792792792793,2.6126126126126126,0.45045045045045046,3.5135135135135136
Mason Greenwood,Marseille,"FW,MF",17.1,2.4561403508771926,4.853801169590643,2.1637426900584793,2.7485380116959064,4.385964912280701,1.5204678362573099,2.280701754385965,2.280701754385965,4.269005847953216,1.461988304093567,0.2046783625730994,0.29824561403508765,0.24561403508771928,3.333333333333333,0.3508771929824561,3.450292397660818
