Minute,Team,xG,PSxG,Outcome,Event Type,match_url
4,Chelsea,0.14,0.06,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
9,Chelsea,0.08,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
9,Chelsea,0.59,0.49,Goal,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
14,Southampton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
19,Chelsea,0.12,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
21,Southampton,0.03,0.17,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
21,Southampton,0.05,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
22,Chelsea,0.05,0,Blocked,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
22,Chelsea,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
26,Chelsea,0.08,0.39,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
29,Chelsea,0.06,0.17,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
33,Southampton,0.31,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
38,Chelsea,0.12,0,Blocked,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
41,Chelsea,0.07,0,Blocked,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
48,Chelsea,0.08,0.18,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
61,Southampton,0.79,0.99,Goal,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
63,Southampton,0.16,0,Blocked,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
66,Chelsea,0.09,0,Blocked,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
72,Chelsea,0.31,0.63,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
77,Southampton,0,0,Red Card,Red Card,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
78,Chelsea,0.02,0,Blocked,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
81,Chelsea,0.05,0.03,Saved,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
84,Chelsea,0.64,0.72,Goal,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
86,Chelsea,0.04,0,Off Target,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
89,Chelsea,0.7,0,Woodwork,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
89,Chelsea,0.17,0,Woodwork,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
89,Chelsea,0.02,0.11,Goal,Shot,https://fbref.com/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
2,Newcastle Utd,0.2,0.15,Goal,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
9,Newcastle Utd,0.03,0,Off Target,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
13,Tottenham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
13,Tottenham,0.02,0.15,Saved,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
17,Tottenham,0.09,0.35,Goal,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
20,Newcastle Utd,0.03,0,Off Target,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
22,Tottenham,0.43,0.16,Goal,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
36,Tottenham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
39,Tottenham,0.08,0,Woodwork,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
45,Newcastle Utd,0.05,0,Off Target,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
45,Tottenham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
45,Tottenham,0.73,0.89,Goal,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
49,Tottenham,0.01,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
49,Tottenham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
49,Tottenham,0.04,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
60,Tottenham,0.04,0,Off Target,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
74,Newcastle Utd,0.01,0,Off Target,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
80,Tottenham,0.02,0,Off Target,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
82,Newcastle Utd,0.04,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
82,Newcastle Utd,0.02,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
83,Newcastle United,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
84,Tottenham,0.07,0,Blocked,Shot,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
89,Tottenham Hotspur,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
5,Chelsea,0.04,0.1,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
8,Chelsea,0.04,0.41,Goal,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
18,Chelsea,0.47,0.92,Goal,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
23,Chelsea,0.01,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
30,Chelsea,0.22,0.15,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
33,Chelsea,0.05,0,Blocked,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
37,Norwich City,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
39,Chelsea,0.26,0.1,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
42,Chelsea,0.39,0.57,Goal,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
44,Chelsea,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
52,Chelsea,0.03,0,Blocked,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
53,Norwich City,0.06,0.07,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
57,Chelsea,0.05,0.43,Goal,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
60,Norwich City,0.03,0,Blocked,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
65,Norwich City,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
67,Chelsea,0.04,0.1,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
71,Chelsea,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
72,Chelsea,0.02,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
78,Chelsea,0.04,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
79,Chelsea,0.04,0.13,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
80,Chelsea,0.21,0.63,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
80,Chelsea,0.04,0.07,Saved,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
81,Chelsea,0.02,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
81,Chelsea,0.09,0,Blocked,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
85,Chelsea,0.79,0.84,Goal,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
90,Chelsea,0.48,0.74,Goal,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
90,Chelsea,0.05,0,Off Target,Shot,https://fbref.com/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
4,Manchester Utd,0.37,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
5,Liverpool,0.54,0.6,Goal,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
7,Liverpool,0.25,0.06,Saved,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
9,Liverpool,0.06,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
10,Manchester Utd,0.02,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
13,Liverpool,0.68,0.97,Goal,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
17,Manchester Utd,0.06,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
19,Manchester Utd,0.05,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
22,Manchester Utd,0.02,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
29,Manchester Utd,0.03,0.38,Saved,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
30,Liverpool,0.03,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
31,Liverpool,0.21,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
31,Liverpool,0.01,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
32,Liverpool,0.13,0.12,Saved,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
35,Manchester Utd,0.04,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
36,Manchester Utd,0.06,0.25,Saved,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
38,Liverpool,0.05,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
38,Liverpool,0.44,0.77,Goal,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
45,Manchester Utd,0.39,0.23,Saved,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
45,Liverpool,0.27,0.82,Goal,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
47,Liverpool,0.06,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
50,Liverpool,0.3,0.85,Goal,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
56,Liverpool,0.05,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
60,Manchester United,0,0,Red Card,Red Card,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
71,Liverpool,0.04,0.25,Saved,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
81,Liverpool,0.05,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
82,Liverpool,0.02,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
83,Manchester Utd,0.38,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
85,Liverpool,0.03,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
90,Manchester Utd,0.02,0,Off Target,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
90,Liverpool,0.21,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
90,Manchester Utd,0.12,0,Blocked,Shot,https://fbref.com/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
6,Crystal Palace,0.1,0.82,Goal,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
18,Manchester City,0.03,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
19,Manchester City,0.11,0.03,Saved,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
20,Manchester City,0.01,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
25,Manchester City,0.03,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
25,Manchester City,0.03,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
31,Manchester City,0.05,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
37,Manchester City,0.02,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
45,Manchester City,0,0,Red Card,Red Card,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
45,Manchester City,0.02,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
48,Manchester City,0.02,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
49,Crystal Palace,0.05,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
49,Manchester City,0.11,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
52,Crystal Palace,0.12,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
58,Manchester City,0.08,0.08,Saved,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
64,Crystal Palace,0.19,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
66,Manchester City,0.01,0.02,Saved,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
69,Manchester City,0.14,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
77,Crystal Palace,0.05,0.11,Saved,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
78,Crystal Palace,0.01,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
79,Crystal Palace,0.02,0,Blocked,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
88,Crystal Palace,0.14,0.47,Goal,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
90,Manchester City,0.05,0,Off Target,Shot,https://fbref.com/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
2,West Ham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
7,West Ham,0.04,0.46,Goal,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
15,Aston Villa,0.04,0.06,Saved,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
16,West Ham,0.07,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
16,West Ham,0.16,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
16,West Ham,0.04,0.19,Saved,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
28,West Ham,0.06,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
32,Aston Villa,0.02,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
34,Aston Villa,0.32,0.52,Goal,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
36,West Ham,0.04,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
37,West Ham,0.06,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
37,West Ham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
38,West Ham,0.02,0.45,Goal,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
41,Aston Villa,0.05,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
44,Aston Villa,0.01,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
45,Aston Villa,0.06,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
45,West Ham,0.04,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
50,Aston Villa,0,0,Red Card,Red Card,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
52,West Ham,0.1,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
55,West Ham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
55,West Ham,0.04,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
57,Aston Villa,0.12,0.14,Saved,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
62,Aston Villa,0.03,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
68,West Ham,0.06,0.36,Saved,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
69,West Ham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
71,West Ham,0.07,0.12,Saved,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
73,Aston Villa,0.03,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
80,West Ham,0.27,0.89,Saved,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
80,West Ham,0.32,0.9,Goal,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
84,West Ham,0.9,0.93,Goal,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
88,West Ham,0.06,0,Off Target,Shot,https://fbref.com/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
6,Brighton,0.06,0.23,Saved,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
7,Newcastle Utd,0.04,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
9,Brighton,0.03,0.07,Saved,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
24,Brighton,0.79,0.95,Goal,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
27,Brighton,0.22,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
27,Brighton,0.03,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
42,Newcastle Utd,0.02,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
45,Brighton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
47,Brighton,0.05,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
47,Brighton,0.03,0.14,Saved,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
52,Brighton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
55,Newcastle Utd,0.01,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
55,Brighton,0.03,0.04,Saved,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
56,Brighton,0.13,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
60,Brighton,0.02,0,Blocked,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
63,Newcastle Utd,0.04,0,Blocked,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
66,Newcastle Utd,0.17,0.18,Goal,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
85,Newcastle Utd,0.01,0,Off Target,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
90,Brighton,0.03,0,Blocked,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
90,Brighton,0.03,0,Blocked,Shot,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
90,Brighton & Hove Albion,0,0,Red Card,Red Card,https://fbref.com/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
6,Everton,0.03,0.17,Saved,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
